Model,MAE,MSE,RMSE,R2
LinearRegression,0.28091469140232617,0.26834379518359586,0.518019106967683,0.7316562048164043
DecisionTreeRegressor,0.33270508328833504,0.2598598242080708,0.5097644791549042,0.7401401757919293
SVR,0.23892108264755094,0.15450562618925304,0.39307203689559633,0.845494373810747
RandomForestRegressor,0.22866329449537223,0.13268445335346887,0.3642587725140863,0.8673155466465312
AdaBoostRegressor,0.2838312419764043,0.15556023919130263,0.3944112564206334,0.8444397608086974
GradientBoostingRegressor,0.21682555059874253,0.09986426778545983,0.3160130816682433,0.9001357322145402
XGBRegressor,0.21760957135276626,0.10174863069215215,0.3189806117809547,0.8982513693078479
